"STATISTIC","Statistic Label","TLIST(A1)","Year","C02199V02655","Sex","C02945V03560","ICD 10 Diagnostic Group","UNIT","VALUE"
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","-","Both sexes","19","Other and unspecified","Number","361"
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","-","Both sexes","20","Unspecified","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","-","Both sexes","21","All disorders","Number","2401"
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","1","Male","01","Organic category","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","1","Male","02","Organic mental disorders","Number","147"
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","1","Male","03","Schizophrenia","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","1","Male","04","Schizophrenia, schizotypal and delusional disorders","Number","478"
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","1","Male","05","Other psychoses","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","1","Male","06","Depressive disorders","Number","163"
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","1","Male","07","Mania","Number","95"
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","1","Male","08","Neuroses","Number","44"
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","1","Male","09","Personality disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","1","Male","10","Personality and behavioural disorders","Number","21"
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","1","Male","11","Alcoholic disorders","Number","47"
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","1","Male","12","Drug dependence","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","1","Male","13","Other drug disorders","Number","22"
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","1","Male","14","Mental handicap","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","1","Male","15","Eating disorders","Number","0"
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","1","Male","16","Intellectual disability","Number","111"
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","1","Male","17","Development disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","1","Male","18","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","1","Male","19","Other and unspecified","Number","193"
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","1","Male","20","Unspecified","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","1","Male","21","All disorders","Number","1325"
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","2","Female","01","Organic category","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","2","Female","02","Organic mental disorders","Number","110"
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","2","Female","03","Schizophrenia","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","2","Female","04","Schizophrenia, schizotypal and delusional disorders","Number","273"
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","2","Female","05","Other psychoses","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","2","Female","06","Depressive disorders","Number","234"
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","2","Female","07","Mania","Number","104"
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","2","Female","08","Neuroses","Number","41"
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","2","Female","09","Personality disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","2","Female","10","Personality and behavioural disorders","Number","47"
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","2","Female","11","Alcoholic disorders","Number","25"
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","2","Female","12","Drug dependence","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","2","Female","13","Other drug disorders","Number","5"
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","2","Female","14","Mental handicap","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","2","Female","15","Eating disorders","Number","19"
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","2","Female","16","Intellectual disability","Number","50"
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","2","Female","17","Development disorders","Number","0"
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","2","Female","18","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","2","Female","19","Other and unspecified","Number","168"
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","2","Female","20","Unspecified","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2013","2013","2","Female","21","All disorders","Number","1076"
"HRA71C01","Psychiatric In-patients (Number)","2015","2015","-","Both sexes","01","Organic category","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2015","2015","-","Both sexes","02","Organic mental disorders","Number","289"
"HRA71C01","Psychiatric In-patients (Number)","2015","2015","-","Both sexes","03","Schizophrenia","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2015","2015","-","Both sexes","04","Schizophrenia, schizotypal and delusional disorders","Number","744"
"HRA71C01","Psychiatric In-patients (Number)","2015","2015","-","Both sexes","05","Other psychoses","Number",""
